National-ID-Animal;Farm-ID-Animal;Date;Time;Temperature-Celsius
276000312341001;1001;2023-07-24;15:31:31;38,56
276000312341002;1002;2023-07-24;15:13:31;38,60
276000312341003;1003;2023-07-24;16:29:42;38,67
276000312341004;1004;2023-07-24;16:21:29;39,84
276000312341005;1005;2023-07-24;15:14:33;40,45
276000312341006;1006;2023-07-24;14:43:25;40,26
276000312341007;1007;2023-07-24;15:00:55;39,81
276000312341008;1008;2023-07-24;14:36:23;39,46
276000312341009;1009;2023-07-24;15:30:13;40,22
276000312341010;1010;2023-07-24;14:49:00;38,70
276000312341011;1011;2023-07-24;16:07:46;38,31
276000312341012;1012;2023-07-24;15:59:21;39,06
276000312341013;1013;2023-07-24;16:39:00;38,18
276000312341014;1014;2023-07-24;17:08:11;38,68
276000312341015;1015;2023-07-24;16:19:37;38,64
276000312342001;2001;2023-07-24;15:53:52;39,90
276000312342002;2002;2023-07-24;15:38:03;39,54
276000312342003;2003;2023-07-24;16:32:23;40,47
276000312342004;2004;2023-07-24;14:56:02;38,61
276000312342005;2005;2023-07-24;15:58:15;39,44
276000312342006;2006;2023-07-24;14:38:51;38,48
276000312342007;2007;2023-07-24;14:57:42;39,99
276000312342008;2008;2023-07-24;14:58:59;39,07
276000312342009;2009;2023-07-24;14:47:50;37,90
276000312342010;2010;2023-07-24;14:44:32;37,97
276000312342011;2011;2023-07-24;15:20:36;39,06
276000312342012;2012;2023-07-24;15:33:48;39,24
276000312342013;2013;2023-07-24;16:06:01;38,24
276000312342014;2014;2023-07-24;15:29:10;38,28
276000312342015;2015;2023-07-24;15:39:19;40,47
276000312342016;2016;2023-07-24;17:00:09;38,06
276000312342017;2017;2023-07-24;14:54:17;40,31
276000312342018;2018;2023-07-24;15:10:41;38,86
276000312342019;2019;2023-07-24;15:23:41;39,40
276000312342020;2020;2023-07-24;15:22:35;37,89
276000312342021;2021;2023-07-24;15:57:04;40,44
276000312342022;2022;2023-07-24;16:13:53;38,70
276000312342023;2023;2023-07-24;16:17:06;40,28
276000312342024;2024;2023-07-24;16:48:57;40,13
276000312342025;2025;2023-07-24;15:12:28;39,95
276000312342026;2026;2023-07-24;15:40:57;38,47
276000312342027;2027;2023-07-24;14:30:04;38,02
276000312342028;2028;2023-07-24;17:06:31;38,60
276000312342029;2029;2023-07-24;14:32:23;39,19
276000312342030;2030;2023-07-24;15:45:03;39,68
276000312342031;2031;2023-07-24;16:52:40;38,54
276000312342032;2032;2023-07-24;15:26:29;40,15
276000312342033;2033;2023-07-24;14:35:14;38,11
276000312342034;2034;2023-07-24;15:48:05;40,31
276000312342035;2035;2023-07-24;16:27:11;40,14
276000312342036;2036;2023-07-24;15:18:49;38,90
276000312342037;2037;2023-07-24;17:03:34;38,05
276000312342038;2038;2023-07-24;16:10:54;37,80
276000312342039;2039;2023-07-24;16:40:28;39,14
276000312342040;2040;2023-07-24;14:45:52;39,90
276000312342041;2041;2023-07-24;14:52:20;39,48
276000312342042;2042;2023-07-24;16:15:20;39,87
276000312342043;2043;2023-07-24;16:25:41;37,84
276000312342044;2044;2023-07-24;16:04:58;39,99
276000312342045;2045;2023-07-24;15:46:15;38,34
276000312342046;2046;2023-07-24;14:33:46;39,93
276000312342047;2047;2023-07-24;16:59:02;39,15
276000312342048;2048;2023-07-24;16:42:10;39,78
276000312342049;2049;2023-07-24;16:03:07;38,02
276000312342050;2050;2023-07-24;15:50:03;40,22
276000312342051;2051;2023-07-24;16:12:17;39,10
276000312342052;2052;2023-07-24;14:37:45;38,80
276000312342053;2053;2023-07-24;16:55:09;39,71
276000312342054;2054;2023-07-24;15:06:24;40,20
276000312342055;2055;2023-07-24;15:52:00;39,21
276000312342056;2056;2023-07-24;16:46:05;39,58
276000312342057;2057;2023-07-24;16:24:10;39,14
276000312342058;2058;2023-07-24;16:02:00;38,93
276000312342059;2059;2023-07-24;16:47:28;39,25
276000312342060;2060;2023-07-24;16:37:05;40,50
276000312342061;2061;2023-07-24;16:09:01;39,00
276000312342062;2062;2023-07-24;15:27:52;38,60
276000312342063;2063;2023-07-24;16:53:55;38,40
276000312342064;2064;2023-07-24;16:43:26;40,27
276000312342065;2065;2023-07-24;14:50:23;39,30
276000312342066;2066;2023-07-24;16:33:34;39,29
276000312342067;2067;2023-07-24;17:05:07;37,92
276000312342068;2068;2023-07-24;15:42:22;38,93
276000312342069;2069;2023-07-24;16:50:06;38,11
276000312342070;2070;2023-07-24;14:40:05;38,22
276000312343007;3007;2023-07-24;15:15:54;38,56
276000312343044;3044;2023-07-24;15:36:12;39,94
276000312343065;3065;2023-07-24;15:32:40;38,94
276000312343117;3117;2023-07-24;14:31:10;40,21
276000312343204;3204;2023-07-24;15:09:05;40,10
276000312343232;3232;2023-07-24;15:43:51;38,51
276000312343308;3308;2023-07-24;15:03:41;38,58
276000312343376;3376;2023-07-24;17:02:03;38,49
276000312343409;3409;2023-07-24;16:22:48;39,07
276000312343420;3420;2023-07-24;16:51:27;38,67
276000312343505;3505;2023-07-24;16:35:20;39,37
276000312343535;3535;2023-07-24;15:55:49;39,35
276000312343540;3540;2023-07-24;15:07:30;39,67
276000312343558;3558;2023-07-24;14:41:30;38,75
276000312343587;3587;2023-07-24;16:00:51;37,85
276000312343597;3597;2023-07-24;15:02:30;39,43
276000312343619;3619;2023-07-24;15:17:24;40,04
276000312343627;3627;2023-07-24;16:18:35;39,08
276000312343721;3721;2023-07-24;16:44:55;38,01
276000312343892;3892;2023-07-24;15:25:01;39,68
276000312343899;3899;2023-07-24;15:05:03;38,26
276000312343913;3913;2023-07-24;16:28:28;40,30
276000312343915;3915;2023-07-24;15:35:09;38,24
276000312343940;3940;2023-07-24;16:31:05;38,76
276000312343978;3978;2023-07-24;16:01:00;38,95
